,Support Vector Machine,Decision Tree,Tensor Flow,PyTorch
a,0.704595186,0.788683964,0.731081903,0.831822445
m,0.701518692,0.766549844,0.706386268,0.809384735
p1,0.679469593,0.730224051,0.695333958,0.776863283
p2,0.639260021,0.739979445,0.625514388,0.779033916
p1p2,0.671835443,0.731012658,0.670253158,0.786075949
am,0.692970084,0.759557568,0.696362257,0.803281122
mp1,0.693474597,0.757765471,0.695938349,0.793964203
amp1,0.68704094,0.749505014,0.681016862,0.780226097
amp1p2,0.687973542,0.750751654,0.684545994,0.79579074
,,,,
"tensor and pytorch: 100 epochs, 0.001 learning rate",,,,
runtime 36m 56.1s,,,,
